,Unnamed: 0,Unnamed: 0,precision_0,precision_0,recall_0,recall_0,f1_score_0,f1_score_0,support_0,support_0,precision_1,precision_1,recall_1,recall_1,f1_score_1,f1_score_1,support_1,support_1,accuracy,accuracy,macro_avg_precision,macro_avg_precision,macro_avg_recall,macro_avg_recall,macro_avg_f1_score,macro_avg_f1_score,macro_avg_support,macro_avg_support,weighted_avg_precision,weighted_avg_precision,weighted_avg_recall,weighted_avg_recall,weighted_avg_f1_score,weighted_avg_f1_score,weighted_avg_support,weighted_avg_support
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo_few_shot,0.0,0.0,0.9319947192287618,0.0013005399492001261,0.1999078765545831,0.0018424689083372144,0.3292009873755955,0.00253554800322745,2171.0,0.0,0.2781553537495853,0.0004934851147737783,0.9548264384213029,0.0008236095138224243,0.43080927903467203,0.0006261978505064084,701.0,0.0,0.3841689879294336,0.0014071907675234673,0.6050750364891736,0.0008485871604392502,0.577367157487943,0.0010090867541306728,0.38000513320513374,0.0015552070032855822,2872.0,0.0,0.7724050969443249,0.0010749158728605122,0.3841689879294336,0.0014071907675234673,0.3540016184525498,0.0020551101306962795,2872.0,0.0
gpt-3.5-turbo_zero_shot,0.0,0.0,0.9298014830254907,0.0012017527545917627,0.2399815753109166,0.001218678632457229,0.38149776745241265,0.0016210165900073569,2171.0,0.0,0.28622954558348623,0.0004644378671461585,0.9438896814075131,0.0008236095138225365,0.43925674280452753,0.0006240929728988875,701.0,0.0,0.4117920148560817,0.001063736233740906,0.6080155143044884,0.0008225655082585951,0.5919356283592149,0.0009324272186579391,0.41037725512847006,0.0011101399718200166,2872.0,0.0,0.7727179425843885,0.0010154727727508554,0.4117920148560817,0.001063736233740906,0.3955956232051398,0.0013702422414890278,2872.0,0.0
gpt-4-few_shot,0.0,0.0,0.9526536848106401,0.0012122305242953815,0.6086288960540457,0.0022721708255717273,0.7427380462899746,0.0020536246717917012,2171.0,0.0,0.427836962278376,0.002001106570995631,0.9063242986210177,0.0021790659510014126,0.5812771493092618,0.0022898269176713096,701.0,0.0,0.6812906220984215,0.0022385447448915827,0.6902453235445081,0.0016033032714470171,0.7574765973375316,0.0022106757326699916,0.6620075977996182,0.002170631848519826,2872.0,0.0,0.8245560098471593,0.0014019395241182458,0.6812906220984215,0.0022385447448915827,0.7033285446244175,0.0021104466746349783,2872.0,0.0
gpt-4-zero_shot,0.0,0.0,0.9325523362758216,9.617937181841719e-05,0.7578688776293566,0.0011591946008399098,0.836184673428083,0.0007441570360651504,2171.0,0.0,0.5254306383420845,0.001194307380136526,0.8302425106990015,0.0,0.6435688367754949,0.0008957173488690393,701.0,0.0,0.7755338904363974,0.0008762574785597744,0.728991487308953,0.0006452432861463935,0.7940556941641791,0.0005795973004199346,0.739876755101789,0.0008199370687633899,2872.0,0.0,0.8331817547119115,0.0003642111951139574,0.7755338904363974,0.0008762574785597744,0.7891708497882974,0.0007811498995936889,2872.0,0.0
mental-bert-base-cased,0.0,0.0,0.8803605812419238,0.0210390410325069,0.8261361891601413,0.02105386357415366,0.8519505054289698,0.007665240962742986,2171.0,0.0,0.5466793078394497,0.018893533829694435,0.6494293865905848,0.07655264400494054,0.5918435251076904,0.03733832253214878,701.0,0.0,0.7830054549675024,0.01138493466975896,0.7135199445406868,0.01654595350606774,0.737782787875363,0.030582010212940835,0.7218970152683301,0.020521238833015966,2872.0,0.0,0.7989153957770442,0.01813044541492444,0.7830054549675024,0.01138493466975896,0.7884633908031979,0.012623730135710755,2872.0,0.0
mental-bert-large-cased,0.0,0.0,0.8599944876188005,0.022004887866856955,0.8250038384768924,0.02910503705780699,0.8414550231692037,0.008292774770331218,2171.0,0.0,0.5175093594342662,0.019974399647561883,0.5800047551117451,0.0907001018649778,0.5434770057636522,0.044742506117491594,701.0,0.0,0.7652042711234911,0.010485806966837334,0.6887519235265334,0.01599558833540593,0.7025042967943187,0.03312770537153275,0.692466014466428,0.02233029936581734,2872.0,0.0,0.7764004504121993,0.018064665116216242,0.7652042711234911,0.010485806966837334,0.7687243162746036,0.01202165602424968,2872.0,0.0
mental-longformer-base-4096,0.0,0.0,0.8708557845209861,0.023903902351907952,0.8255028404729003,0.023732203399493383,0.8469883469703384,0.007044910197083651,2171.0,0.0,0.5328747745569314,0.018044235143794128,0.6169757489300999,0.08750169631545833,0.5694331747375857,0.04132697506271764,701.0,0.0,0.7746053853296192,0.010716025813893365,0.7018652795389588,0.017489498318038355,0.7212392947015002,0.03400595040510008,0.708210760853962,0.021820205602707678,2872.0,0.0,0.788361116002601,0.02015315297281747,0.7746053853296192,0.010716025813893365,0.7792424640541965,0.012538746092588806,2872.0,0.0
mental-roberta-large,0.0,0.0,0.8636790332266945,0.022097348326414128,0.8148318747121143,0.027275859481434666,0.8378897962045122,0.007322908729475089,2171.0,0.0,0.5102399927358455,0.017256340005261054,0.5977175463623395,0.08887220722248158,0.5476586794648808,0.04339339227192209,701.0,0.0,0.7618384401114207,0.009299925512565322,0.6869595129812699,0.01606045263376973,0.7062747105372269,0.032621395480350035,0.6927742378346965,0.021611354369793806,2872.0,0.0,0.7774113565609265,0.018495586508093947,0.7618384401114207,0.009299925512565322,0.7670499588666008,0.011410520332195837,2872.0,0.0
mental-xlnet-base-cased,0.0,0.0,0.8650307050993703,0.02109938803454443,0.8249654537079687,0.028582806561695977,0.8438590370729541,0.007540149403943764,2171.0,0.0,0.5250689976765094,0.015631943104583493,0.5975392296718973,0.08561714003971284,0.5558340936262749,0.03917688986268481,701.0,0.0,0.7694550835654597,0.008455192961484791,0.6950498513879398,0.012778668655446843,0.7112523416899329,0.030156517908126776,0.6998465653496145,0.01892990679106528,2872.0,0.0,0.7820525864004061,0.016193600860568435,0.7694550835654597,0.008455192961484791,0.7735576842330786,0.009732153354345434,2872.0,0.0
mental_flant5_few_shot,0.0,0.0,0.7129872191791696,0.08409430776035218,0.0069092584062643665,0.0024373572649143897,0.0136813228075092,0.00479430957002791,2171.0,0.0,0.2438631862564291,0.0006041101709094383,0.9919163100332858,0.0008236095138225365,0.3914805226933183,0.000841887473523184,701.0,0.0,0.24733054781801297,0.002040203787284938,0.47842520271779937,0.042348225298494815,0.4994127842197751,0.0016249275802184583,0.2025809227504138,0.0028174613129658263,2872.0,0.0,0.5984830593327765,0.06371547270000733,0.24733054781801297,0.002040203787284938,0.10589484617796613,0.0038292532638083995,2872.0,0.0
mental_flant5_zero_shot,0.0,0.0,0.8001127757720049,0.05506487166870999,0.042530323967449664,0.0036945215462968876,0.08076438274846794,0.006926969796213775,2171.0,0.0,0.2459500470427586,0.002313453631117916,0.9671897289586305,0.008677264665190126,0.3921729536235832,0.0036477863668704373,701.0,0.0,0.26822191272051993,0.004752923683714766,0.5230314114073819,0.02868913368073925,0.5048600264630401,0.006016575321184852,0.23646866818602555,0.005203010314486231,2872.0,0.0,0.6648523047277147,0.042189249872385114,0.26822191272051993,0.004752923683714766,0.15677322960900267,0.006073042646568327,2872.0,0.0
