,Unnamed: 0,Unnamed: 0,precision_0,precision_0,recall_0,recall_0,f1_score_0,f1_score_0,support_0,support_0,precision_1,precision_1,recall_1,recall_1,f1_score_1,f1_score_1,support_1,support_1,accuracy,accuracy,macro_avg_precision,macro_avg_precision,macro_avg_recall,macro_avg_recall,macro_avg_f1_score,macro_avg_f1_score,macro_avg_support,macro_avg_support,weighted_avg_precision,weighted_avg_precision,weighted_avg_recall,weighted_avg_recall,weighted_avg_f1_score,weighted_avg_f1_score,weighted_avg_support,weighted_avg_support
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo_few_shot,0.0,0.0,0.8025788229743388,0.0012986335181612316,0.28924980665119876,0.000773395204949727,0.4252411191914467,0.0006535068247074691,1293.0,0.0,0.6180382921141403,9.811997746923946e-05,0.9417352754908169,0.0006333122229257859,0.7462985772218477,0.00012732820814564312,1579.0,0.0,0.6479805013927576,0.0,0.7103085575442396,0.0006002570024910941,0.6154925410710078,7.004149101189072e-05,0.5857698482066472,0.0002630893436774354,2872.0,0.0,0.7011200840369246,0.0005307111563963788,0.6479805013927576,0.0,0.6017556478230635,0.0002242107248568103,2872.0,0.0
gpt-3.5-turbo_zero_shot,0.0,0.0,0.8399990027560197,0.0016403357028589554,0.2490332559938128,0.0007733952049496992,0.3841715967208557,0.0010804366235285495,1293.0,0.0,0.6098312747579165,0.00032659425233245456,0.9611568503272113,0.00036564298238744305,0.7462099718279939,0.00034909614292221954,1579.0,0.0,0.640552460538533,0.0005318681168704287,0.7249151387569682,0.00097894949147702,0.605095053160512,0.0005526381207570119,0.5651907842744248,0.0007122309089829341,2872.0,0.0,0.7134548375370069,0.0009132616057862926,0.640552460538533,0.0005318681168704287,0.5832170682717509,0.0006757065922510992,2872.0,0.0
gpt-4-few_shot,0.0,0.0,0.950495730366289,0.0016598734040153972,0.24748646558391332,0.0015467904098994262,0.39271676690428725,0.0019772284387682025,1293.0,0.0,0.6162242760831099,0.0004938852620827641,0.9894447962845683,0.00036564298238744305,0.7594589059189444,0.00040809432767963946,1579.0,0.0,0.6554085422469823,0.0007248140666665121,0.7833600032246996,0.0009453563797086061,0.6184656309342408,0.0007947099097667926,0.5760878364116159,0.0011812073762736562,2872.0,0.0,0.7667162643798197,0.0008801525263826246,0.6554085422469823,0.0007248140666665121,0.5943483259238359,0.0011023892236159503,2872.0,0.0
gpt-4-zero_shot,0.0,0.0,0.8447122642965325,0.004475198459934811,0.4289765403454498,0.0038150679522940354,0.5689786702172142,0.0023549520260765975,1293.0,0.0,0.6667191342688104,0.0008270059996885604,0.935402153261558,0.0027605439794432533,0.7785287483464743,0.0003908974479292065,1579.0,0.0,0.7074048282265553,0.0002010272525033085,0.7557156992826713,0.001824244015024993,0.682189346803504,0.0005277118474703228,0.6737537092818443,0.000982404927944628,2872.0,0.0,0.7468532279755808,0.001560264787440176,0.7074048282265553,0.0002010272525033085,0.6841874353168317,0.0008457427997206524,2872.0,0.0
mental-bert-base-cased,0.0,0.0,0.9395349653094539,0.024731511830456188,0.32463263727764885,0.04185803999800257,0.48085219253832484,0.0459951719426436,1293.0,0.0,0.6401444900471583,0.013413061641821497,0.9824783618323835,0.008481711086811798,0.7750854402861753,0.009261073035085384,1579.0,0.0,0.6863103528319406,0.017150771580548174,0.7898397276783061,0.013390442262218081,0.6535554995550161,0.019299096714217895,0.62796881641225,0.027417410993004206,2872.0,0.0,0.7749327506718617,0.012647290820700825,0.6863103528319406,0.017150771580548174,0.6426190094581911,0.02557556315992038,2872.0,0.0
mental-bert-large-cased,0.0,0.0,0.9168065832657498,0.032458548232568836,0.337071410157257,0.05732054157628476,0.4891220016373479,0.05796952617232171,1293.0,0.0,0.6425282646575744,0.016598313378001998,0.9730578425163605,0.015880621869028957,0.7736875326276028,0.008299874931542219,1579.0,0.0,0.6867310817084494,0.01854691642843257,0.7796674239616621,0.010610794268807138,0.6550646263368088,0.021960593689241407,0.6314047671324754,0.03292265008786162,2872.0,0.0,0.7660108085156422,0.008906302487879013,0.6867310817084494,0.01854691642843257,0.6455735940585222,0.03043459876412573,2872.0,0.0
mental-longformer-base-4096,0.0,0.0,0.9102469272811264,0.02707643913133595,0.339230471771075,0.031341544300569096,0.4930927137565846,0.03178724640250798,1293.0,0.0,0.642560520806871,0.009342316676851883,0.9719231581169517,0.009909678606367973,0.7735598930756616,0.005589555075896026,1579.0,0.0,0.6870792711234911,0.010908985441228721,0.7764037240439987,0.01242273353504785,0.6555768149440133,0.01261933338932027,0.6333263034161231,0.018312584719037257,2872.0,0.0,0.7630753270642568,0.011167093778811038,0.6870792711234911,0.010908985441228721,0.6472910689602137,0.016983386423843977,2872.0,0.0
mental-roberta-large,0.0,0.0,0.9105756118543988,0.029204715623229446,0.343548594998711,0.04078799711978359,0.49713999083888877,0.04164014376306467,1293.0,0.0,0.6441184890621382,0.012727877271543061,0.9716065020054887,0.011666744294503154,0.7745380805020042,0.008120648514447559,1579.0,0.0,0.6888492339832869,0.015235395362656168,0.7773470504582685,0.014417601054836127,0.6575775485020999,0.01738530974531622,0.6358390356704465,0.0244748238309228,2872.0,0.0,0.7640798608484868,0.013282945849438855,0.6888492339832869,0.015235395362656168,0.6496509879064581,0.02278050917163838,2872.0,0.0
mental-xlnet-base-cased,0.0,0.0,0.9124712814873187,0.035779819224982856,0.36655710234596545,0.032958267889335584,0.5215225807121885,0.029136654536686082,1293.0,0.0,0.6517556419508376,0.009234126677029511,0.969891281401731,0.017294611414712276,0.7794735512962335,0.0060332328148419425,1579.0,0.0,0.6982648560817085,0.009987486462292,0.7821134617190783,0.016406686070077288,0.6682241918738483,0.01154973944327185,0.650498066004211,0.016360248906981376,2872.0,0.0,0.7691321467978676,0.014621344281259363,0.6982648560817085,0.009987486462292,0.663341725054879,0.015130624892452793,2872.0,0.0
mental_flant5_few_shot,0.0,0.0,0.5740740740740741,0.08486251286955257,0.008249548852797033,0.0008930398595354074,0.016256428210497834,0.0017033941623098054,1293.0,0.0,0.5505312405285928,0.00036438824938415563,0.9947223981422842,0.0022241194327321666,0.708784015845064,0.0008598906983698017,1579.0,0.0,0.5506035283194057,0.0008762574785597523,0.5623026573013336,0.04261344299447202,0.5014859734975406,0.0007335455179864519,0.36252022202778084,0.0005321285779393588,2872.0,0.0,0.5611304340433237,0.038406188829534046,0.5506035283194057,0.0008762574785597523,0.39700192294412595,0.00043674998870375364,2872.0,0.0
mental_flant5_zero_shot,0.0,0.0,0.733253036234066,0.013700869038485856,0.09280742459396747,0.001339559789303084,0.16476016134808955,0.0024166447008913275,1293.0,0.0,0.5668921704877525,0.000726327761438014,0.9723453662655689,0.00159380080964126,0.7162181726611966,0.001000728309994159,1579.0,0.0,0.5763695450324976,0.0014071907675234582,0.6500726033609093,0.007207881963399114,0.5325763954297682,0.001393128305743872,0.4404891670046431,0.0016813066599165839,2872.0,0.0,0.6417893151291117,0.00656136494856741,0.5763695450324976,0.0014071907675234582,0.4679468604648709,0.0016098937611201158,2872.0,0.0
